scheduler,profile,vehicles,cores,exec,overrun,net_delay_ms,seed,duration_s,missed_jobs,veh,avg_perf,max_roll,soft_pct,hard,max_age_fresh_ms,max_age_path_ms,min_ttpnr_ms,past_pnr_ms
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,0,0.021676,0.182397,0.0000,0,90.50,90.50,-1.00,0.0
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,1,0.039162,0.182397,0.0000,0,90.50,90.50,-1.00,0.0
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,2,0.046246,0.268366,0.0000,0,90.50,90.50,-1.00,0.0
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,3,0.037394,0.914847,0.0000,0,90.50,90.50,335.10,0.0
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,4,0.030718,0.300585,0.0000,0,90.50,90.50,-1.00,0.0
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,5,0.514382,2.763037,13.5333,0,90.50,90.50,400.10,0.0
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,6,0.535170,2.692061,13.7000,0,75.50,85.50,415.10,0.0
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,7,0.060783,0.882261,0.0000,0,85.50,95.50,365.10,0.0
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,8,0.068346,1.027100,0.9000,0,85.50,95.50,185.10,0.0
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,9,0.015790,0.180942,0.0000,0,80.50,95.50,-1.00,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,0,0.033678,0.181410,0.0000,0,105.50,105.50,-1.00,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,1,0.040600,0.197187,0.0000,0,95.50,110.50,-1.00,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,2,0.047068,0.276382,0.0000,0,100.50,120.50,-1.00,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,3,0.040360,0.916870,0.0000,0,95.50,110.50,335.10,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,4,0.033515,0.318060,0.0000,0,105.50,120.50,-1.00,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,5,0.428491,2.267686,11.0333,0,90.50,125.50,425.10,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,6,0.471580,2.415861,11.9667,0,105.50,105.50,410.10,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,7,0.059170,0.764622,0.0000,0,105.50,110.50,375.10,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,8,0.066742,0.989417,0.8667,0,105.50,105.50,235.10,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,9,0.025580,0.198545,0.0000,0,95.50,115.50,-1.00,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,0,0.028499,0.177840,0.0000,0,105.50,125.50,-1.00,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,1,0.040795,0.207821,0.0000,0,105.50,125.50,-1.00,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,2,0.044870,0.275475,0.0000,0,105.50,120.50,-1.00,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,3,0.039265,0.910958,0.0000,0,100.50,120.50,335.10,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,4,0.033727,0.318434,0.0000,0,105.50,130.50,-1.00,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,5,0.429201,2.268524,11.0333,0,100.50,115.50,425.10,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,6,0.456718,2.386993,11.4667,0,105.50,105.50,415.10,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,7,0.054950,0.749753,0.0000,0,105.50,125.50,380.10,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,8,0.067298,1.008836,0.9333,0,105.50,125.50,185.10,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,9,0.020663,0.183068,0.0000,0,105.50,125.50,-1.00,0.0
ttu,v10,10,3,worst,kill,-1.00,0,30.000,5,0,0.021614,0.181708,0.0000,0,90.50,90.50,-1.00,0.0
ttu,v10,10,3,worst,kill,-1.00,0,30.000,5,1,0.039110,0.181708,0.0000,0,90.50,90.50,-1.00,0.0
ttu,v10,10,3,worst,kill,-1.00,0,30.000,5,2,0.045998,0.264789,0.0000,0,90.50,90.50,-1.00,0.0
ttu,v10,10,3,worst,kill,-1.00,0,30.000,5,3,0.038284,0.923330,0.0000,0,90.50,100.50,335.10,0.0
